comment,label
اللهم عليك بالحكام العرب و راموس,normal
اسال امك وهى بتتجلد وهى بتتناك,obscene
وقد عبر عن ذلك بشكل علني ومباشر وزير الخارجية جبران باسيل في كلمته التي حصدت اجماعا عربيا في القمة العربية التنموية,normal
خلص كول هوا العمى بقلبك شو حاقد و وسخ الله يحشرك مع يزيد اللي علمك هالحقد,abusive
لا تغلط هذا صاروخ ادبي بعيد المدى   ,normal
كول هوا يلعن الي نفضك خاين كلب,abusive
خرا لا أقل بل بول وخرا وكان يقوم بجمع الدولارات الجدبدة ويستبدل الدولارات البالية صاحبة الرائحة النتنة أخبار المرحاض,obscene
كيف يعني حرم الرئيس الحريري للعلم القيادات الكبرى غابت عن هيدا المؤتمر بما فيهن الحريري و تمثلوا بوفود,normal
والله العظيم أنتم فعلاً اكبر اكذوبة وأغبى من كذا ما فيه ي,abusive
روح شوف معلمك جبران باسيل و سرقاته بالكهرباء يا حقود يا صاحب الوجه البشع,abusive
تفو عليكون وعلى إعلامكون العبري انتو ناس بلا شرف,obscene
يا عم ليه عم تشولح زبالتك من شباك السيارة لأن بطبعي نضايفي وما بطيق شوف زبالة  ,normal
كول هوا صرماية السيد تاج على راسك ورأس رؤساء العرب الانذال المتخاذلين ولك لولا السيد انت كنت,abusive
هذه الشام شامة الدنيا عاصمتنا بكل فخر    ,normal
ولاك حيوان بدوي نحن بسوريا اذا حدا بقول ديني علوي او سني مندوس ع راسه نحن دينا سوريا يا كر يابدوي,hate
كول هوا واسكت لوما الطرد كان فشخناكم,abusive
الراية الاخبارية الجزيرة جبران باسيل نخص بالشكر أمير دولة قطر الذي كسر الحصار المفروض على بلاده ووصل إلى بيروت جريدة,normal
القزم جبران باسيل طلع له فانز يدافعون عنه,hate
هههههههه طلع الخروف اللي جواك ياعرص وجاوب انت فيه رئيس خريج سجون فيه رئيس يتامر علي بلده فيه رئبس يهرب اسرار بلده,obscene
يا لقيط يا ابن الزانية فيك تسد بوزك و هيك قمة بدها هيك مستوى نمسح فيهن الارض لكلن الدول العربية و ما حت… ,abusive
انت مصيرك تكون بالحبس بطلت تستحى موت بغيظك انتو كل شي اسمه دولة خربتوا لعنة الله عليك ,abusive
وهاب بعد زيارته الغريب لقاء خلدة مهمته داخلية درزية وليس موجهاً ضد أحد لبنان,normal
و انتوا كم ارهابي ارسلتوا من طرابلس لسوريا و لا نسيانة ,normal
و هل يجوز لحسن و الإيراني أن ييقتل الشعب السوري كلا الأطراف القرضاوي و ما ذكرتهم أعداء للمنطقة,normal
لو في قضاء نزيه وما في سلاح متفلت كنت انتي وأشكالك وراء القضبان,normal
يا عدو الاقليات هلا فرضا شي اقلية هون ولا هون زعلت منك من وين انا بجبلك اقلية ومشان الحساسية رش بودرة وحط مرهم,normal
يا حمار قمة يعني زبالة,abusive
جبران باسيل رئيس اكبر حزب مسيحي يا ريت باقي القيادات بتشتغل قد ربع شغلو انتبه ما تغلط انت وغيرك,normal
بيكي أندرسون تسأل جبران باسيل المعظم في علم الاقتصاد حول مشاكل لبنان وهو يجيبها بردية زجل عن الشعب اللبناني العظيم…,normal
لمين يا وسخ,obscene
ظاهر منك عم تشوف الى الشيخ سعد الله يحمي ,normal
كنا نتمنى أن تأتي هذه الصحوة قبل تدمير البلاد العربية الشقيقة وقتل مواطنيها وتهجيرهم ,normal
اليوم الاردن وفلسطين اليوم يتواجه اكثر شعبين ثقيلين دم زنخين اليوم يتواجهون اصحاب ابشع لهجة مرت في تاريخ العرب تصنف كـ اسوأ مباريات الفيفا,hate
وحياة عشك,abusive
ارحلو عنا  حلو عن صدورنا  ارحمونا الله لا يرحمكو مخليتولناش اشي احنا لازم نهاجر ونخليلكو هالوطن وهالاملاك وهالمصاري اللي بجنكو واحنا مسامحينكو  اول شحن طاعه عتركيا تحكي معي,obscene
خنزير المجوس,obscene
شو هم الكبار من حكي الصغار الوزير الملك جبران باسيل أنت كبير وبتضلك كبير لأنك إنسان شهم ومتواضع وسوبر شغيل…,normal
يسعد أوقاتك معالي الوزير,normal
ما مصلحة لبنان من هذا الكلام هل انت فعلاً وطني لبناني,normal
فرق كتير كبير بين الرئيس ميشال عون وبين جبران باسيل  الرئيس بتشوف بوجه نوع من الحب والتعب أما جبران ما بت ,normal
مصادر بالمفوضية : اللاجئون السوريون بحاجة لـ 96 مليون دولار لمواجهة الشتاء @url @url,normal
اول مرة بعرف انو الصرصور بيضحك,abusive
لو كل كلب عوى ألقمته حجراً لأصبح مثقال الحجر بدينار لازم يكون عندك ثروة هلق يا مليونير,normal
كل متبرجه تحرم عليها رائحة الجنه,normal
يحرق عرضك روحي عالمطبخ فضحتي لدنيا وانت وهبلك,hate
بعض التعليقات من لحّيسة التنسيق الأمني حالهم يتلخّص في هذا الكاريكاتير,obscene
صحيح انك هبلة,abusive
الحلو بالعهد انو عم ينقلنا ع مراحل جديدة,normal
في كتير عالم يا خيي ما بتعرف أو ما بدها تعرف حقيقة فكر جبران باسيل,normal
انسان وسخ,obscene
اما انت جلوي انت بالزبالة كنتما ومن بول البعير تشرب وتنقع شاربكا يانذل اليهودي يحم,obscene
وحدووووووه,normal
@user @user خنازير الجزيره تربيه يهود,hateful
وبما انك طلعتي تابعة لحزب روحي حاسبي جبران باسيل والفساد والسرقات,normal
للي تصور تبعد عن صور الحريم والصراخ  والله شيء ماهو حلو بحق شاعرنا ولا بكم أبتعدوا عن الصراخ ليش تصرخون.   وشكرا لك… @url,normal
جبران باسيل أشرف منكن يا اصحاب الشوارع,normal
بالفعل صورة تنم عن واقع العالم العربي المخزي,normal
نجحنا بقوتنا شكراً فخامة الرئيس ومعالي الوزير جبران باسيل,normal
@user @user @user @user @user لأنك وسخ وابن كلب  وايدت الكلب اللبناني !! كلكم عيال كلب وش المشكله يعني؟؟؟,hateful
والك عين تدافع عن روسيا وهيي عم تعترف انو كل طلعة لأسرائيل عندا علم فيها ، ولشو وجود الروس اذا مش جايين يدافعو عن الشعب والقيادة السورية ، هيدا دليل انو الروس واسرائيل واميركا هني ب ، تفضلوا ردوا يا روس ع إسرائيل ووين الدفاعات الجوية لي,normal
*قانون التحرش الجديد العقوبة سنه واحده...*,normal
يهدف النظام:إلى مكافحة جريمه التحرش والحليولة دون وقوعها وتطبيق العقوبة على مرتكبها،او حماية المجني عليه وذلك صيانة… @url,normal
@user والله اذا انا حبيبج من حقج تخونين مو عشان انا جيكر لا لا هي هات ولاكن هذا طبعكم يا الحريم قلوبكم مثل الرمان الحبوب واجد,normal
متعشى ومتقل الظاهر وطالعلك اللوأ عثمان بالكابوس كول خفيف قبل ما تنام بلش درب حالك على اكل اللبنه رح تحتاجها,normal
كليتنا ناقص بس اطبق علينا التحرش الجسدي وبتكون ختمت كل انواع التحرش.,normal
السيد نصرالله هناك صداقة بيني وبين جبران باسيل وما عزز العلاقة بيننا هو حرب والويكيليكس لأنهما تحدثا بنفس الكلام,normal
اكيد حتى جبران باسيل لا يرضى به,normal
لا يجوز تجاوز الدستور وتطبيق قانون سكسونيا ,normal
@user @user @user @user خنازير القرضاوي الله يكرم مخلوقات الطاهره عن الاخوان خونة… @url,abusive_hateful
ع اساس ان دى فلوسك هههههههههه انت اخرك تشاكل ف الحريم تضرب انغام با امال ماهر تعمل كلمات اغانى هابطه وتالف وانت ملك… @url,normal
الطرح الجديد من معالي الوزير جبران باسيل حكومه بكون فيها وزراء من اخوانا السنه وهيك بيعطوا الوزير السابع للقاء التشا…,normal
@user @user @user @user ندري شلون نفهم عيال المتعه، مشروب ابوال البعير للعلاج فقط لكن مرجعي… @user,hateful
لو بتحييد كنت بترتاح وبترييح,normal
جبران باسيل حليف حزب الزباله حلفاء شياطين ايران لبنان المزبله ومصدر المخدرات ومصدر الاٍرهاب يجب ان تعزل,hate
جبران باسيل ممكن يبيع البلد كرمال مصالحو الخاصة,normal
السيد الرئيس اردوغان يتنفس الصعداء,normal
وانا بقترح تروح عند حكيم بيطري لأن صاير عم بتشنهق كتير ,abusive
تسلم عبد الله بس يصير عندي فائض معجبات بحوّللك,normal
عزيزي وئام وهاب و ايه نعم رفعت الكلفة لأن حتّى كلمة استاذ كبيرة عليك انت اكبر منافق و اكبر جبان,abusive
يا شركة الكهربا اذا بدكن تقطعوها كل دقايق ما تجيبوها ما تجيبوها اذا بدكن تقطعوها كل دقايق,normal
داعشيات قذرات تفوووو,obscene
التلك اخرس خراس,abusive
لاء يا رفيقة هيدا من هو الطبّات يلي بيلزقو عالحيط ,normal
طيب والسعودية شو عملت ما دعمت الارهاب ب سوريا وانت بآخر طلاتك عم تمدحها ؟ لماذا الكيل بمكيالين,normal
جبران باسيل وعمه المجرم الهارب عون,normal
كيف بيقدر هالحكم يعلك ويصوفر؟ 🤔,normal
انت اكبر مستفيد يا تاجر الدم,abusive
اي خراس فوق ماعم اثني عليها,abusive
حطموا أحلام جبران باسيل بالمساهمة بإعادة الإعمار,normal
إنها مدرسة الوفاء   مدرسة ميشال عون   تحية الى السيّد   سيّد الصدق والأخلاق والشرف والى حامل الامانة جبران باسيل وما ,normal
هيدا حساب فخامة الرئيس ميشال عون أم حساب فخامة جبران باسيل,normal
هاذا مستوا بعض لناس ما بيعرفو انو كل شريف ومحب مكروه من رعاة لقطعان و ملوك لفساد,normal
اللي عملو للبنان جبران بدن سنة تيعملو,normal
لا أدري كيف سمح لبنان لنفسه بقبول مثل هذا المسخ أن يكون حاضرا في القمة لبنان التنوع والحضارة والفن,normal
جبران باسيل ظاهرة صوتية يوم بقول سوريا احتلال و يوم بده يشارك بإعادة اعمارها خطاب طويل عريض بدعم عودة سوريا للجامعة,normal
كس امك,obscene
انت لازم يقصولك لسانك قبل ان تدمر نفسك,abusive
@user @user مهما كان ومهما حصل فهو سمو الامير محبوب الشعب وعلى كل خنزير من امثالك التزام الصمت فانت مج… @url,hateful
وئام وهاب والله لو وجدت من هو أقذر منك أو أسفل أو أكثر انحطاطا لدفنت نفسك أنت عنوان للرذيلة والدياثة,abusive
الوزير جبران باسيل الافضل لمحاربة الفساد,normal
مركز البحوث اللي اتدمر لإلنا مو للنظام لازم نزعل انه اتدمر منين رح نجيب اجهزة وابحاث بس تخلص الحرب هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه اخ يا خواصري خخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخخ,normal
والله ساعة ما تكفي الحاجة بس بنخلقلك وقت,normal
يا وئام عم تخرب صاير كلو تامر علينا الوهابي والاخونجي فقط للأمانة ,normal
انت ك* امك عامو للغريب وعلى ام كل درزي معك لان الدروز منك براء يا مفتن يا وغد يا ابن الزنا يا عرس انت… ,abusive
نجح الرئيس حسين الحُسيني بتوصيف ظاهِرة جبران باسيل,normal
ميرسي يا رفيقة تعبناكي معنا,normal
يا هبيله بتعرف حالك منيح بطل هبل,abusive
الله لا يوفقوا,normal
فيراني صحيح ترباية مخابر بس سود ومشحورين,normal
ههههههههه اصلا احمد منزل تغريدة هلأ ما فيا جبران باسيل لأول مرة شكلوا اكل خرا,abusive
ايا شي لو شحاطة،، مهم من ريحة الغالي عليهم   مش ناقصنا سياستن جابولنا حدا اسمو شيخ وعملوه…,normal
مارسيل غانم سد نيعك,abusive
سما المصري كانت الأمل الوحيد للترفيه وأمتاع طرابيش مجلس النواب سما المصري تقصد في تصريحها مخرج العري والدعاره خالد يوسف,obscene
بيوت دعاره وعهر وقمار ولحوم خنازير  هذا مصدر دخلهم الاساسي ولهم وجه يتكلمون عن الحرمين #تطاول_نعمان_كورتلموش,abusive_hateful
@user مو ظروري تبثي والله اخلاقك افضل لك من الشهره على حساب دينك تظهري متبرجة كاشفه شعرك والله انصحك اتركي ها المجال,normal
لبنان شامخ بعروبتو بأخواتو العرب بس الفرس ما جلبو للبنان الى الدمار لعنكم الله ايها الفرس المجوس,obscene
و قبل ما نقول معاليه شو سب   نتذكر مين الي علقلو مشنقى بي طرابلس و لا مين تابعين نتذكر الصور,normal
@user @user لاحظو حجم الأسى الذي سببته السعودية العظمى لإيران وبوقها الإعلامي الخنزيرة.,hateful
ربنا ياخدهم هم الاتنين,obscene
كم انت عظيم حضرة القائد ,normal
بريستون بورك حقير كلب حيوان خنزير كلب حمار وصخ دنيئ خبيث اناني سافل وغد وكل شي,obscene
شوفتك مبسوط ب الكلام عن العماد عثمان والحريري وغيرن متل شي ولد صغير حاطت عينو ب صندوق الفرجه وما عم يت… ,normal
جبران باسيل قلق من الخرق الاسرائيلي اليومي ل استقلالهم وسيادتهم ولكن لم ترف عينه من محاولة عصابة السفاح تفجير مساجد في طرابلس,normal
نصر الله يكسر الصمت لما السكوت عن تصريحات جبران باسيل هل فقط لان حزب الله بحاجة الى…,normal
و هو بذاته يلي عمل فتنة بالبلد و هو كمان يلي بيستخدموا نظام الأسد مثل الدومينو و هو ك… ,normal
العار كل العار جماعة الدجالين   وئام وطلال و ناصر الدين وكل من يحالفكم ويدعمكم ، مهزلة المجتمع مهزلة…,hate
جبران باسيل الخائن,abusive
نتمنى اذا كان بلقمة ما يحك باسم الدروز لانه شيخ فقط لدار خلدة ودار حضرتك لان الجاهلية لا تمثلها انت وخلدة لا…,normal
بلا ما نفوت نقرالك كول هوا عصحة السلامة,abusive
انت القدوه ابو هادي,normal
والله لو بتراجع كلامك بتبطل الك عين تحكي حما الله لبنان وشعب لبنان العظيم وحما الله بلاد العرب منك ومن امثالك,normal
في مواقف وزير خارجية لبنان جبران باسيل المؤيدة لبشار الأسد ما هو أبعد من السياسة التفسير في الطائفية الفاقعة التي يصدر ع…,normal
كلكم سحيجة,obscene
وءام وهاب ياغادر ابودياب اخرتك طعام للكلاب وانت واحد كذاب بضلك واقف عالبواب وتشحد الزعامه من اسيادك,abusive
منحطة بلا أخلاق,obscene
يعجبني اكثر ان الحريم يقولون اكسينشن ونحسبه الفورد الكبير وهو وصلات شعر,normal
عش بصراحه وبدون ولف ودوران حتى لو تصير اكبر وسخ بس اهم شي ما تصير منافق وكذاب ويجيك تأنيب ضميير مجربها,obscene
معالي وزير التخبيص الخارجي,obscene
مظبوط مضيع,normal
يا عمي حدا يعطي الجنسية السورية وخلي يحل عنا,normal
السنة تاج راسك يا واطي الله يلعنك ويلعن هل الخلفة,abusive
خبرنا بس كنت تدق للواء عثمان بخصوص السماح لأشخاص ببناء مساكن من دون رخصة وكان يرفضلك طلبك ,normal
قوية,normal
وانا بقترح تروح عند حكيم بيطري لأن صاير عم بتشنهق كتير,abusive
حتى بالاقتصاد حمار,obscene
كول هوا بترتاح,abusive
شو هالدولة لي نحنا عايشين فيها معقول ماحدا قادر يخرسك أو يشلحك بالسجن قاتل وسارق وتطلب السجن لغيرك شو هالوقاحه لي عندك,abusive
عووي يا كلب ,abusive
اي شو يعني عم تنكت أو عم تخلق جو؟ العمى ما ابيخك,obscene
كول هوا ولا ادلب ما تقرب لها يا نذل,abusive
صحيح يا نعال كما انتم يولّى عليكم من دحلان الزفت الى عزمي قذارة,abusive
مقاس صرمايتي والصرماية يلي ع راسك متطابقتان تماما يا عبد المجوس تضرب انته وكلب الفرس المجوسي نصرالشيطان ابن المتعه,hate
الدعس لك واتباع الصفويين ولاعقي احذيتهم,abusive
حين يصبح الحمار زعيماً تختل المقاييس وتنقلب الموازين فيصبح الجميل قبيحاً والجيد رديئاً ويصاب الناس بانحطاط في أذواقهم,normal
انتي ما حدا دعسلك عا ديلك,abusive
يا غيني ما هيدا حليف ايران ة إيران حليفة سوريا و سوريا حليفة حزب الله وانت كلب حزب الله يعني كيف زبطت معك,abusive
وهجرت مليون ارهابي قذر مع عائلتهم وقتلت من قتلت وبقي القذر المجرم ,abusive
ما بقى تقول له بك ، أن زمن البكاويي دفن وأنتهى وأصبحت عظامه مكاحل ,normal
أكتر شي حبيت معاليك    والساطور العربي الموجّه هذه إضافه من المئات,normal
واحد مكيف إنه النهيق تبعه أموي شو بده يطلع منه,hate
يظل التحرش عند الأنثى محرما وجريمة يعاقب عليها القانون حتى يقوم به الشخص المناسب لها فيصبح غزلا,normal
كان بدري عّم يقبض حق تغريدته مبارح ضد قطر   ,abusive
اصل العساكر والجنود ولاد كلب يعني,obscene
ما حدا بالو بطرح اسمك نحن همنا نؤمن ع حقوق المسيحيين من خلال رئيس الحمهورية ت اذا في حال انت وصلت مع اني بشك للرئاسة,normal
جبران باسيل للمرّة الثانية على التوالي يقر بحق اسرائيل بالوجود والأمان,normal
لازم نبيد الغوطة كلها لازم نقتل كل سني لازم نقتل كل شخص رافض ظلم بشار الأسد,hate
حقيري المنحبكجي البلد خربت لأنو رئيسك الساقط أعدم مجد خولاني و فلت أبو محمد الجولاني وشكراً,abusive
مين قدر يوصّل رسالة وجوب مشاركة سوريا بالقمة العربية وعدم مقاطعتها بطريقة افضل، نبيه بري ام جبران باسيل؟ الاول استعمل البل…,normal
معلش هو المخدر قوي كتير,obscene
غصبن عنك وعن امثالك كلام وزير خارجية لبنان جبران باسيل بيمثل السياسة الرسمية للدولة حبيت او ما حبيت مشكلتك,normal
للاسف انك من هلبلد وزير الطبل,obscene
هل انت سياسي بالبلد او لأ ؟؟,normal
هلق كله ضرب عالفلسطينيين فليش التدقيق,normal
الأردن بنت ميتين الوسخة قفلت الحدود بشكل كامل مع درعا عشان لا مدني ولا عسكري يعدي لما حملة النظام تبدأ الأردن ياما عطلت,hate
مياومو الإعلام وشائعاتكم ما رح تغبروا عل صرماية الوزير الملك جبران باسيل يلي بتشرف إعلامكم وأصحاب محطاتكم المأجورين للخارج تفه,hate
جبران باسيل يطبّع قُبَل على خدود الدولة الغاصبة,normal
@user لعنة الله عليك ي كافر ي زنديق ولعنة الله على من خلفك ومن رباك وعلى دولة أحتضنت أمثالك ي خنزير,hateful
دولة رائعة بس نحنا عرصات,obscene
والله كبرت وصرت تبعت وفود      ,normal
كفاكم هبل أيها السادة الجنبلاطيين لا أوامر من حزب البعث ولا من النظام الأسدي,normal
طيب والسعودية شو عملت ما دعمت الارهاب ب سوريا وانت بآخر طلاتك عم تمدحها ؟ لماذا الكيل بمكيالين ,normal
جبران باسيل من الملتقى الاقتصادي العالمي في دافوس ينصح لندن و واشنطن,normal
دخلك انت مش مطلوب عالقضاء,normal
من هذا السفور المُزري والتبرج،،,obscene
في كتير نسوان عالفيسبوك احلى من ولادن هل هالشي تابع لنظرية التطور عند داروين او انو لازم نعمل عمليات تجميل للولاد كمان ما بعرف ,normal
قصدو الاوباش لي بيشبهو رجا الزهيري ولي ع شاكلتو ، إذا بعد ما عمل نائب معو مسلحين بيفتحو جبهة وسكروا الطريق لينزل حضرتو واطلقوا النار ع العالم فكيف ليعمل نائب ، وإذا عم تحكي من منطلق طائفي بدعي كل سني وبش حسب تعبيرك ما يصوت لمعاليك بقضاء الشو,hate
تبقى الخراف كل عمرها خائفه من الذئاب علما بأن الخوف الحقيقي هو الراعي,normal
مغربيات يطلقن حملة #إلا_ضسر_صفري لمواجهة التحرش الجنسي بالمغرب @url @url,normal
كذاب,obscene
صاير فيك مع علاء الخواجا متل راجح بالمسرحية مع بياع الخواتم ,normal
لغيت الإعجاب الي بالغلط بس طويطر كلب,abusive
حماك الله استاذ وئام الكبير ,normal
انت عم تغردي من كباريهات الاهرامات 🤔😂,abusive
ان شاء الله تنحشر انت وياه في جهنم,obscene
ولك كول هوا يا واطي ولك انت واحد عم يندفعلك لتحكي ع تاج راسك ولك ستخي ع حالك يا صباطو للسيد واعتذر من الصباط لتشبيهه بك,abusive
يلعن رب شحادة اللايكات باسم سوريا وبصور ولاد سوريا اخت تعاطفكم بالناقص منو,abusive
كان ورجيتوناا شي وانتوو بتحرقو علم قطر ,normal
ثم تكون شيوعية على منهاج الماركسية,normal
ثقي سيدني الكريمة انا شخص من الناس يلي مابيقولو النار بتكوي الا بكتوي فيا وعملت بمواقع ومحلات خلتني,normal
كفو والله هكذا هم العرب هكذا هم الدروز هكذا هم الشرفاء قطر كل أبواب العرب مغلقه,normal
لا تحية ولا سلام لميشال عون على دوره ومساهمته بشق وحدة الصف الدرزي، ونقول له ولأمثاله نحن بالمرصاد لكل…,normal
وملكه جمال الصحه وين منلاقيها,obscene
كلمة النظام السوري ألقاها بالإنابة عنه جبران باسيل في القمة العربية,normal
هل كلام معالي وزير الخارجيه جبران باسيل في ما يخص موضوع الامام موسى الصدر واثارته في القمه هو دفعه مسبقه لدولة الرئيس ,normal
طيب سد نيعك و فرقنا بريحة طيبة,abusive
فيق على حالك و إنتبه ما تقول شكراً قطر بعد عدة أشهرمن شهرين كنت عم بتسب إرسلان ,normal
ماعارفنك بايره ساي كان جاك واحد من الخوجلاب بتقبلي بيه,obscene
اللهم ابعد عنى الحريم والحرام,normal
يلعنو ويلعن يلي حاوي بلا خواجا بلا زبالة ,abusive
@user @user كل الكلام اللي قاله هذا الكائن صحيح لكنه عندما يتحدث عن المصريين فهو يقصد خنازير النظام و… @url,abusive
جبران باسيل لو كان يريد وطنا لما تطاول على الرئيس بري ووصفه بالبلطجي,normal
لوز مسوس,obscene
قولك بيعرف معنى هل الحكي ؟؟ ,normal
كلام سليم وانت ايضا تحت القضاء,normal
العمى شو كل سنتين ليقبضوك لحتى تغردي هلأ        ,abusive
هنن هالبهايم اكتر مخلوقات بيستعملوا التكنولوجيا مشان يقنعوا حالهن انهن بشر,abusive
حركة جديدة فى المغرب باسم “ماسكتاش” ضد التحرش تستعمل الصفارة @url @url,normal
ممكن تفرشي سنانك قبل كل تويت بليز في ريحة خرى قوية,abusive
